specificTag;tag;firsttimestamp;lasttimestamp;startzeit;endzeit
-;Room2;1683963190;1683963908;09:33:10;09:45:08
-;Corridor;1683963909;1683963980;09:45:09;09:46:20
-;Room1;1683963981;1683964047;09:46:21;09:47:27
-;Corridor;1683964048;1683964089;09:47:28;09:48:09
-;Room2;1683964090;1683964502;09:48:10;09:55:02
;;;;;
;;;;;
;;;;;
;;;;;
