_id,distance,gateway,major,majorminor,minor,rssi,timestamp,type,uuid,tag,specificTag
C630A073DD08,3.862072457802375,F3499FDED02E,10002,100029586,9586,-77.0,1683732872,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
F0F8F2044F23,4.641588833612778,F3499FDED02E,10004,1000422222,22222,-80.0,1683732872,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
04EE03C47286,3.4145488738336014,F3499FDED02E,10004,1000454480,54480,-76.0,1683732872,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,6.843472532259788,F3499FDED02E,10002,100029571,9571,-83.5,1683732872,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
C630A073DD08,0.6328167412157395,E06B09BAC79F,10002,100029586,9586,-54.0,1683732873,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
F0F8F2044F23,1.3091409013363464,E06B09BAC79F,10004,1000422222,22222,-63.5,1683732873,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
04EE03C47286,1.6847911650502372,E06B09BAC79F,10004,1000454480,54480,-65.0,1683732873,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,0.4912242919635074,E06B09BAC79F,10002,100029571,9571,-50.5,1683732873,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
087CBF000028,1.5848931924611136,E06B09BAC79F,10004,1000411111,11111,-66.0,1683732873,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C630A073DD08,6.120972347162546,F3499FDED02E,10002,100029586,9586,-83.0,1683732873,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
F0F8F2044F23,13.210890160732864,F3499FDED02E,10004,1000422222,22222,-92.5,1683732873,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
04EE03C47286,8.640254486652415,F3499FDED02E,10004,1000454480,54480,-85.5,1683732873,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,5.475581139207356,F3499FDED02E,10002,100029571,9571,-82.0,1683732873,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
087CBF000028,6.309573444801933,F3499FDED02E,10004,1000411111,11111,-84.0,1683732873,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C630A073DD08,0.833550817403552,E06B09BAC79F,10002,100029586,9586,-56.5,1683732874,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
087CBF000028,6.309573444801933,E06B09BAC79F,10004,1000411111,11111,-84.0,1683732874,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,0.5304117895942104,E06B09BAC79F,10002,100029571,9571,-51.5,1683732874,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
04EE03C47286,1.0,E06B09BAC79F,10004,1000454480,54480,-60.0,1683732874,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,1.847849797422291,E06B09BAC79F,10004,1000422222,22222,-68.0,1683732874,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C630A073DD08,4.164266949066176,F3499FDED02E,10002,100029586,9586,-78.5,1683732874,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
087CBF000028,9.261187281287937,F3499FDED02E,10004,1000411111,11111,-89.0,1683732874,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,6.561247067690774,F3499FDED02E,10002,100029571,9571,-84.5,1683732874,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
04EE03C47286,3.686945064519575,F3499FDED02E,10004,1000454480,54480,-77.0,1683732874,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,5.011872336272722,F3499FDED02E,10004,1000422222,22222,-81.0,1683732874,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
DC0D300F720A,1.5848931924611136,E06B09BAC79F,12303,1230329194,29194,-66.0,1683732875,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77,Room1,-
087CBF000028,2.7244354865785207,E06B09BAC79F,10004,1000411111,11111,-71.5,1683732875,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C630A073DD08,0.5860634355133285,E06B09BAC79F,10002,100029586,9586,-53.0,1683732875,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
