specificTag;tag;firsttimestamp;lasttimestamp;startzeit;endzeit
M1;Room1;;;;
M2;Room1;;;;
M3;Room1;;;;
M4;Room1;;;;
M5;Room1;;;;
M6;Corridor;;;;
M7;Corridor;;;;
M8;Room2;;;;
M9;Room2;;;;
M10;Room2;;;;
M11;Room2;;;;
M12;Room2;;;;
